
file name: report.txt
date: 07-Aug-2018
nobs = 60488,  ngood = 60487,  record length (days) = 42.01
start time: 20-Feb-2018 16:03:00
rayleigh criterion = 1.0
Greenwich phase computed, no nodal corrections

x0= 1.34, x trend= 0

var(x)= 0.033951   var(xp)= 0.0089312   var(xres)= 0.026403
percent var predicted/var original= 26.3 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
 MM   0.0015122    0.0312    0.036    37.20    68.99     0.74
 MSF  0.0028219    0.0145    0.028   129.22   155.71     0.28
 ALP1 0.0343966    0.0162    0.034   163.76   136.29     0.23
 2Q1  0.0357064    0.0086    0.035   264.94   175.91    0.061
 Q1   0.0372185    0.0288    0.042    37.53   102.96     0.46
 O1   0.0387307    0.0476    0.043    44.16    59.65      1.2
 NO1  0.0402686    0.0266    0.040   141.82    96.11     0.43
*K1   0.0417807    0.1335    0.043    99.58    18.96      9.7
 J1   0.0432929    0.0469    0.042   277.89    56.56      1.3
 OO1  0.0448308    0.0336    0.042   306.46    89.29     0.63
 UPS1 0.0463430    0.0127    0.036    20.75   177.80     0.13
 EPS2 0.0761773    0.0078    0.022    25.27   166.10     0.12
 MU2  0.0776895    0.0157    0.022   179.84    87.47      0.5
 N2   0.0789992    0.0116    0.023   203.99   132.05     0.25
 M2   0.0805114    0.0101    0.023   115.33   157.54     0.19
 L2   0.0820236    0.0254    0.029   179.32    64.15     0.76
 S2   0.0833333    0.0106    0.022    85.04   147.71     0.24
 ETA2 0.0850736    0.0171    0.027   323.18    88.62     0.41
 MO3  0.1192421    0.0008    0.005   161.55   219.53    0.022
 M3   0.1207671    0.0014    0.005   243.42   199.98    0.071
 MK3  0.1222921    0.0046    0.006   286.83    91.28     0.54
 SK3  0.1251141    0.0089    0.007   343.95    46.48      1.6
 MN4  0.1595106    0.0008    0.003   202.44   172.78    0.081
*M4   0.1610228    0.0069    0.004   103.16    37.05        3
 SN4  0.1623326    0.0007    0.003   329.56   195.23    0.059
 MS4  0.1638447    0.0035    0.004   164.11    74.26     0.92
 S4   0.1666667    0.0006    0.003     6.54   196.63    0.042
 2MK5 0.2028035    0.0022    0.002   328.39    52.63     0.98
 2SK5 0.2084474    0.0007    0.001   301.04   130.98     0.22
 2MN6 0.2400221    0.0016    0.003   318.77   148.05     0.25
 M6   0.2415342    0.0011    0.003   185.83   178.42      0.1
 2MS6 0.2443561    0.0004    0.003   261.53   216.09    0.017
 2SM6 0.2471781    0.0007    0.003   274.05   189.24    0.049
 3MK7 0.2833149    0.0005    0.002   195.75   212.69    0.059
 M8   0.3220456    0.0011    0.002    75.91    97.89     0.36
